palavra_chave,intencao,problema_real,publico,dificuldade_1a5,potencial_1a5,tipo_de_conteudo,pagina_alvo,cta_recomendado,status
cesta basica mais cara do brasil qual capital,INFORMACAO,Curiosidade regional,Geral,3,2,Artigo atualizado,/site-dinheiro/quanto-precisa-ganhar/,Calcular o meu,PUBLICADA
quantas horas preciso trabalhar para comprar a cesta basica,INFORMACAO,Curiosidade de impacto,Geral,3,2,Ferramenta,/site-dinheiro/quanto-precisa-ganhar/,Calcular o meu,CRIAR
quanto do salario minimo vai para comida,INFORMACAO,Curiosidade de impacto,Renda baixa,3,2,Artigo,/site-dinheiro/quanto-precisa-ganhar/,Calcular o meu,PUBLICADA
escala de equivalencia ocde o que e,INFORMACAO,Metodologia,Estudante e pesquisador,2,1,Artigo,/site-dinheiro/quanto-precisa-ganhar/,Calcular o meu,PUBLICADA
como comparar gastos de familias de tamanhos diferentes,INFORMACAO,Metodologia,Analitico,2,2,Artigo,/site-dinheiro/quanto-precisa-ganhar/,Calcular o meu,PUBLICADA
adulto equivalente como calcular,INFORMACAO,Metodologia,Analitico,2,1,Ferramenta,/site-dinheiro/quanto-precisa-ganhar/,Calcular o meu,PUBLICADA
divida de agua e luz negociacao,PROBLEMA,Conta essencial atrasada,Renda baixa,4,3,Artigo,/site-dinheiro/como-sair-das-dividas/,Fazer o diagnostico,CRIAR
divida de iptu como parcelar,PROBLEMA,Imposto atrasado,Proprietario,4,2,Artigo,/site-dinheiro/como-sair-das-dividas/,Fazer o diagnostico,CRIAR
divida de condominio o que acontece,PROBLEMA,Condominio atrasado,Morador,4,3,Artigo,/site-dinheiro/como-sair-das-dividas/,Fazer o diagnostico,CRIAR
divida de financiamento de carro atrasada,PROBLEMA,Risco de busca e apreensao,Motorista endividado,4,4,Artigo,/site-dinheiro/qual-divida-pagar-primeiro/,Montar minha ordem,CRIAR
divida de financiamento de casa atrasada,PROBLEMA,Risco de perder o imovel,Mutuario,4,4,Artigo,/site-dinheiro/qual-divida-pagar-primeiro/,Montar minha ordem,CRIAR
divida com garantia ou sem garantia qual pagar antes,PROBLEMA,Ordem de prioridade,Endividado informado,2,5,Artigo + ferramenta,/site-dinheiro/qual-divida-pagar-primeiro/,Montar minha ordem,PUBLICADA
divida de estudante fies como negociar,PROBLEMA,FIES atrasado,Ex-estudante,4,3,Artigo,/site-dinheiro/como-sair-das-dividas/,Fazer o diagnostico,CRIAR
divida de imposto de renda como parcelar,PROBLEMA,IR atrasado,Declarante,4,2,Artigo,/site-dinheiro/como-sair-das-dividas/,Fazer o diagnostico,CRIAR
divida de cartao de loja como negociar,PROBLEMA,Crediario atrasado,Renda baixa,3,4,Artigo,/site-dinheiro/como-sair-das-dividas/,Fazer o diagnostico,CRIAR
crediario e mais caro que cartao,INFORMACAO,Comparando credito,Renda baixa,3,3,Artigo,/site-dinheiro/qual-divida-pagar-primeiro/,Montar minha ordem,CRIAR
comprar fiado na loja vale a pena,PROBLEMA,Decisao de credito,Renda baixa,3,3,Artigo,/site-dinheiro/qual-divida-pagar-primeiro/,Montar minha ordem,CRIAR
como sair das dividas em 90 dias,TRANSACAO,Quer prazo definido,Endividado decidido,2,5,Oferta,/site-dinheiro/como-sair-das-dividas/,Comprar o plano,PUBLICADA
plano financeiro personalizado quanto custa,TRANSACAO,Buscando servico,Endividado decidido,3,5,Oferta,/site-dinheiro/como-sair-das-dividas/,Comprar o plano,CRIAR
consultoria financeira vale a pena,PROBLEMA,Avaliando ajuda paga,Classe media,4,4,Artigo,/site-dinheiro/como-sair-das-dividas/,Comprar o plano,CRIAR
educacao financeira por onde comecar,INFORMACAO,Quer aprender,Geral,5,2,Pilar,/site-dinheiro/como-sair-das-dividas/,Fazer o diagnostico,CRIAR
por que ganhar mais nao resolve as dividas,PROBLEMA,Aumentou renda e nao mudou,Classe media,2,4,Artigo,/site-dinheiro/,Fazer o diagnostico,PUBLICADA
inflacao do estilo de vida o que e,INFORMACAO,Quer nomear o problema,Classe media,3,3,Artigo,/site-dinheiro/,Fazer o diagnostico,CRIAR
como parar de usar o cartao de credito,PROBLEMA,Dependencia do cartao,Endividado,3,4,Artigo,/site-dinheiro/juros-do-cartao-de-credito/,Calcular meu rotativo,CRIAR
devo cancelar meu cartao de credito,PROBLEMA,Decisao sobre o cartao,Endividado,3,3,Artigo,/site-dinheiro/juros-do-cartao-de-credito/,Calcular meu rotativo,CRIAR
uso o cartao para pagar mercado e errado,PROBLEMA,Cartao cobrindo deficit,Renda baixa,2,5,Artigo,/site-dinheiro/,Fazer o diagnostico,CRIAR
estou usando o cartao para pagar contas,PROBLEMA,Cartao cobrindo deficit,Renda baixa,2,5,Artigo + ferramenta,/site-dinheiro/,Fazer o diagnostico,CRIAR
sinais de que estou endividado demais,PROBLEMA,Nao sabe se e grave,Classe C,3,4,Ferramenta diagnostica,/site-dinheiro/,Fazer o diagnostico,CRIAR
como saber se estou superendividado,PROBLEMA,Nao sabe se e grave,Endividado,3,4,Ferramenta diagnostica,/site-dinheiro/,Fazer o diagnostico,CRIAR
divida saudavel qual o limite,INFORMACAO,Quer referencia,Classe media,3,4,Artigo + ferramenta,/site-dinheiro/quanto-posso-gastar-ganhando/,Ver os tetos,CRIAR
ansiedade financeira o que fazer,PROBLEMA,Sofrimento com dinheiro,Endividado,4,3,Artigo,/site-dinheiro/como-sair-das-dividas/,Fazer o diagnostico,CRIAR
briga por dinheiro no casamento,PROBLEMA,Conflito conjugal,Casal endividado,4,3,Artigo + ferramenta,/site-dinheiro/,Fazer o diagnostico,CRIAR
como conversar com o parceiro sobre dividas,PROBLEMA,Conflito conjugal,Casal endividado,3,3,Artigo,/site-dinheiro/,Fazer o diagnostico,CRIAR
como dividir as contas da casa entre o casal,PROBLEMA,Divisao injusta,Casal,3,3,Ferramenta,/site-dinheiro/,Fazer o diagnostico,CRIAR
dividir contas proporcional ao salario,PROBLEMA,Divisao injusta,Casal,2,3,Ferramenta,/site-dinheiro/,Fazer o diagnostico,CRIAR
como controlar gastos morando com a familia,PROBLEMA,Divisao de custos,Jovem adulto,3,2,Artigo,/site-dinheiro/,Fazer o diagnostico,CRIAR
quanto dar de ajuda em casa morando com os pais,PROBLEMA,Divisao de custos,Jovem adulto,2,2,Ferramenta,/site-dinheiro/,Fazer o diagnostico,CRIAR
orcamento para autonomo com renda variavel,PROBLEMA,Renda instavel,Autonomo,3,4,Artigo + ferramenta,/site-dinheiro/,Fazer o diagnostico,CRIAR
como se organizar com renda variavel,PROBLEMA,Renda instavel,Autonomo,3,4,Artigo,/site-dinheiro/,Fazer o diagnostico,CRIAR
mei quanto tirar de pro labore,PROBLEMA,Mistura PJ e PF,MEI,4,3,Ferramenta,/site-dinheiro/quanto-posso-gastar-ganhando/,Ver os tetos,CRIAR
separar dinheiro da empresa e o pessoal,PROBLEMA,Mistura PJ e PF,MEI,3,3,Artigo,/site-dinheiro/quanto-posso-gastar-ganhando/,Ver os tetos,CRIAR
aposentado com divida o que fazer,PROBLEMA,Renda fixa e divida,Aposentado,3,4,Artigo,/site-dinheiro/como-sair-das-dividas/,Fazer o diagnostico,CRIAR
consignado do inss margem quanto e,INFORMACAO,Vai contratar credito,Aposentado,5,3,Artigo,/site-dinheiro/qual-divida-pagar-primeiro/,Montar minha ordem,CRIAR
emprestimo consignado para aposentado vale a pena,PROBLEMA,Vai contratar credito,Aposentado,5,3,Artigo,/site-dinheiro/qual-divida-pagar-primeiro/,Montar minha ordem,CRIAR
como organizar as contas do mes passo a passo,PROBLEMA,Quer metodo,Geral,4,3,Artigo,/site-dinheiro/,Comprar o plano,CRIAR
metodo dos envelopes funciona,INFORMACAO,Buscando metodo,Geral,3,2,Artigo,/site-dinheiro/,Fazer o diagnostico,CRIAR
desafio das 52 semanas vale a pena,INFORMACAO,Buscando metodo,Geral,3,2,Artigo,/site-dinheiro/,Fazer o diagnostico,CRIAR
como fazer o dinheiro render mais ganhando pouco,PROBLEMA,Renda baixa,Renda baixa,4,3,Artigo,/site-dinheiro/,Comprar o plano,CRIAR
